Variable,Population,Cluster_0,Cluster_0_pval,Cluster_1,Cluster_1_pval,Cluster_2,Cluster_2_pval,Cluster_3,Cluster_3_pval,Cluster_4,Cluster_4_pval,Cluster_5,Cluster_5_pval,Cluster_6,Cluster_6_pval
N,2463,271,N/A,500,N/A,279,N/A,302,N/A,279,N/A,389,N/A,443,N/A
total_followup_days,108.57 ± 111.61,115.39 ± 112.13,0.1494,103.94 ± 106.06,0.6364,100.65 ± 113.09,0.0418,113.65 ± 110.55,0.3317,117.46 ± 118.40,0.1901,103.64 ± 121.72,0.0328,109.91 ± 103.10,0.2412
total_wl_%,-9.21 ± 6.85,-10.25 ± 6.83,0.0054,-9.38 ± 6.73,0.5194,-8.98 ± 6.83,0.4139,-8.92 ± 6.56,0.6372,-9.34 ± 7.01,0.9287,-8.39 ± 7.01,0.0137,-9.38 ± 6.91,0.6701
days_to_10%_wl,52.59 ± 31.92,43.01 ± 20.12,0.0000,53.29 ± 27.56,0.1349,52.81 ± 31.24,0.9134,51.70 ± 23.45,0.7082,59.52 ± 38.64,0.0065,55.33 ± 48.45,0.7273,52.91 ± 26.90,0.4311
10%_wl_achieved,1186 (48.2%),153 (56.5%),0.0113,242 (48.4%),0.9587,125 (44.8%),0.3181,152 (50.3%),0.5131,126 (45.2%),0.3763,168 (43.2%),0.0771,220 (49.7%),0.5938
60d_dropout,1080 (43.8%),102 (37.6%),0.0582,218 (43.6%),0.9578,141 (50.5%),0.0387,129 (42.7%),0.7540,112 (40.1%),0.2629,198 (50.9%),0.0110,180 (40.6%),0.2279
