group,group_display,day,n,raw_mean,raw_ci_lower,raw_ci_upper,adj_mean,adj_ci_lower,adj_ci_upper
personalized_d30,Personalized d30,30,446,-4.4558246856752115,-4.667697469015681,-4.243951902334742,-1.0487787315250408,-2.798867965609195,0.7013105025591135
personalized_d30,Personalized d30,60,363,-7.632355434897434,-8.01752021865976,-7.247190651135108,-4.8940517557834085,-8.049317363398455,-1.738786148168363
personalized_d30,Personalized d30,90,274,-9.764916832269435,-10.350799079840806,-9.179034584698064,-6.697801913315344,-11.562263770006226,-1.8333400566244622
personalized_d30_60,Personalized d30-60,30,303,-3.5398415232095997,-3.8124078671154162,-3.267275179303783,-2.566341807950474,-3.746364234940555,-1.386319380960393
personalized_d30_60,Personalized d30-60,60,234,-5.834573047114747,-6.306861032952718,-5.362285061276775,-3.185815762192152,-4.988088093571598,-1.3835434308127055
personalized_d30_60,Personalized d30-60,90,170,-7.884971650557351,-8.668109640968005,-7.101833660146697,-4.408225877972678,-7.577288075246875,-1.2391636806984816
personalized_late,Personalized late,30,242,-1.5060952463171253,-1.8621626238919289,-1.1500278687423218,-1.853827001583288,-2.3424719624907855,-1.3651820406757909
personalized_late,Personalized late,60,185,-2.632008335418617,-3.2517847228223493,-2.0122319480148843,-3.0008523313459063,-3.8860444023250826,-2.11566026036673
personalized_late,Personalized late,90,156,-2.0861605634944067,-3.029497117864331,-1.1428240091244826,-3.0971475852063235,-4.486700834894391,-1.7075943355182566
